sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
27,-0.0003618866194301518,-5.634480827211519e-05,-0.001145921432907926,-0.00017780270036382717,-0.001145921432907926,-0.00017780270036382717,-0.0015322948,-0.00023592239,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
28,-0.00038540552883205244,-5.999334205625928e-05,-0.00117594547009503,-0.00018242668920720462,-0.00117594547009503,-0.00018242668920720462,-0.0015012019,-0.00023119945,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
29,-0.00040951273425889674,-6.373250426804589e-05,-0.0012053602713422151,-0.00018695811058933032,-0.0012053602713422151,-0.00018695811058933032,-0.0014707401,-0.00022657106,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
30,-0.00043419627123512337,-6.756048124771042e-05,-0.0012341768488113303,-0.00019139884898322634,-0.0012341768488113303,-0.00019139884898322634,-0.0014408289,-0.00022203694,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
31,-0.0004594444466420101,-7.147549492401596e-05,-0.0012624087703443365,-0.00019575068381527672,-0.0012624087703443365,-0.00019575068381527672,-0.0014115961,-0.00021759175,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
32,-0.00048524580430239447,-7.547580290520274e-05,-0.0012900678830192192,-0.00020001539905933896,-0.0012900678830192192,-0.00020001539905933896,-0.0013829557,-0.00021323578,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
33,-0.000511589119269047,-7.955969759677829e-05,-0.0013171657483326271,-0.00020419473457877757,-0.0013171657483326271,-0.00020419473457877757,-0.0013548933,-0.00020896678,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
34,-0.0005384633946232499,-8.372550561944082e-05,-0.0013437137677101418,-0.00020829040113312658,-0.0013437137677101418,-0.00020829040113312658,-0.001327401,-0.00020478333,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
35,-0.0005658578582006158,-8.797158719062283e-05,-0.0013697231788682984,-0.00021230407855910016,-0.0013697231788682984,-0.00021230407855910016,-0.0013004706,-0.00020068388,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
36,-0.000593755220543244,-9.229472239894677e-05,-0.0013948681171314092,-0.00021615676041619736,-0.0013948681171314092,-0.00021615676041619736,-0.001257247,-0.0001926341,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
37,-0.0006221452774843784,-9.669336874594593e-05,-0.0014195028470567195,-0.00021993231734995788,-0.0014195028470567195,-0.00021993231734995788,-0.0012317365,-0.00018877785,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
38,-0.0006510180318582571,-0.00010116601468780574,-0.0014436377186939353,-0.00022363229709299048,-0.0014436377186939353,-0.00022363229709299048,-0.0012067436,-0.000184999,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
