sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
37,0.000611107358672598,-0.0003514356954610776,0.0013587375506176613,-0.0008501185980094306,0.0013587375506176613,-0.0008501185980094306,0.0011765967,-0.0007988127,0.0,0.0,[],0.036422603,60.762394,58.81773,0.14140469,16.296,11.99
38,0.000641270321320917,-0.0003703950552562674,0.001508148132415954,-0.0009479679897594906,0.001508148132415954,-0.0009479679897594906,0.007470529,-0.00489247,0.0,0.0,[],0.12808654792600108,60.762394,60.808147,0.14140469,16.296,11.99
39,0.0006743424999513082,-0.00039127588326209667,0.0016536089315195568,-0.0010440414002914622,0.0016536089315195568,-0.0010440414002914622,0.0072730402,-0.0048036706,0.0,0.0,[],0.1280865,60.762394,60.808147,0.14140469,16.296,11.99
40,0.0007104954357419047,-0.0004140455043170733,0.0018076467895298265,-0.0011384810527488298,0.0018076467895298265,-0.0011384810527488298,0.0077018933,-0.004721983,0.0,0.0,[],0.12808642,60.762394,60.808147,0.14140469,16.296,11.99
41,0.000749655247454939,-0.0004386661151647787,0.0019579905856517144,-0.0012310305423852697,0.0019579905856517144,-0.0012310305423852697,0.0075171897,-0.0046274746,0.0,0.0,[],0.12808625,60.762394,60.808147,0.14140469,16.296,11.99
42,0.0007917003357943032,-0.0004651024108216007,0.002102254416968208,-0.001321814782841102,0.002102254416968208,-0.001321814782841102,0.0072131916,-0.004539212,0.0,0.0,[],0.12808599,60.762394,60.808147,0.14140469,16.296,11.99
43,0.0008364947861628025,-0.0004933148944792266,0.002239722518424969,-0.0014106241828812927,0.002239722518424969,-0.0014106241828812927,0.006873405,-0.00444047,0.0,0.0,[],0.12808558,60.762394,60.808147,0.14140469,16.296,11.99
44,0.0008839744062788668,-0.0005232680674680524,0.0023739810058032162,-0.0014976586494412913,0.0023739810058032162,-0.0014976586494412913,0.006712924,-0.0043517235,0.0,0.0,[],0.12808503,60.762394,60.808147,0.14140469,16.296,11.99
45,0.0009340655506457551,-0.0005549263225611868,0.0025045572183444165,-0.0015829127546567179,0.0025045572183444165,-0.0015829127546567179,0.006528811,-0.0042627053,0.0,0.0,[],0.1280843,60.762394,60.808147,0.14140469,16.296,11.99
46,0.000986707240335818,-0.000588255574516552,0.002632084484503139,-0.001666462597768259,0.002632084484503139,-0.001666462597768259,0.0063763633,-0.004177492,0.0,0.0,[],0.12808335,60.762394,60.808147,0.14140469,16.296,11.99
