sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
10,-0.00011161485235788858,-2.048783119789732e-05,-0.0003441315857344307,-9.665746529208263e-05,-0.0003441315857344307,-9.665746529208263e-05,0.0035515365,0.0002171807,0.0,0.0,[],0.0312457,29.127193,29.26004,0.0,0.0,0.0
11,-0.00011710820472217163,-2.233588561466604e-05,-0.00027466761821415275,-9.240272083843593e-05,-0.00027466761821415275,-9.240272083843593e-05,0.0034731983,0.00021273723,0.0,0.0,[],0.03123789,29.127193,29.26004,0.0,0.0,0.0
12,-0.0001212431969179306,-2.4100569116853876e-05,-0.00020674960978794843,-8.82341751093918e-05,-0.00020674960978794843,-8.82341751093918e-05,0.0033959004,0.00020842729,0.0,0.0,[],0.031229766,29.127193,29.26004,0.0,0.0,0.0
13,-0.00012405055749695746,-2.5783587434489165e-05,-0.00014036802895134315,-8.415091588176438e-05,-0.00014036802895134315,-8.415091588176438e-05,0.003319079,0.00020416296,0.0,0.0,[],0.031221323,29.127193,29.26004,0.0,0.0,0.0
14,-0.00012556043875520115,-2.738663626587368e-05,-7.549406291218475e-05,-8.015244156922563e-05,-7.549406291218475e-05,-8.015244156922563e-05,0.0032436985,0.00019992371,0.0,0.0,[],0.031212553,29.127193,29.26004,0.0,0.0,0.0
15,-0.00012580154318129642,-2.891135403842782e-05,-1.2055221304763108e-05,-7.623588862770703e-05,-1.2055221304763108e-05,-7.623588862770703e-05,0.0031719422,0.00019582764,0.0,0.0,[],0.031203452,29.127193,29.26004,0.0,0.0,0.0
16,-0.00012480195742682552,-3.0359346728801034e-05,4.9979287723544985e-05,-7.23996345186606e-05,4.9979287723544985e-05,-7.23996345186606e-05,0.0031017256,0.00019181271,0.0,0.0,[],0.031194014,29.127193,29.26004,0.0,0.0,0.0
17,-0.00012258917260624003,-3.173218776737486e-05,0.00011063924102927558,-6.864205192869122e-05,0.00011063924102927558,-6.864205192869122e-05,0.0030329977,0.00018787914,0.0,0.0,[],0.031184234,29.127193,29.26004,0.0,0.0,0.0
18,-0.00011919008764380124,-3.303141946162214e-05,0.0001699542481219396,-6.496158471236413e-05,0.0001699542481219396,-6.496158471236413e-05,0.0029657504,0.00018402336,0.0,0.0,[],0.031174105,29.127193,29.26004,0.0,0.0,0.0
19,-0.00011462718626717105,-3.4258566947755754e-05,0.00022814506883150898,-6.135737430668087e-05,0.00022814506883150898,-6.135737430668087e-05,0.0029095411,0.00018021053,0.0,0.0,[],0.031163622,29.127193,29.26004,0.0,0.0,0.0
20,-0.00010892633014009334,-3.541511086041282e-05,0.0002850428063538857,-5.7827195632853545e-05,0.0002850428063538857,-5.7827195632853545e-05,0.0028448869,0.00017650894,0.0,0.0,[],0.031152776,29.127193,29.26004,0.0,0.0,0.0
21,-0.00010209607622527984,-3.650200831089023e-05,0.00034151269574067555,-5.4344872523870436e-05,0.00034151269574067555,-5.4344872523870436e-05,0.0028234946,0.00017411615,0.0,0.0,[],0.031141564,29.127193,29.26004,0.0,0.0,0.0
22,-9.416159955435433e-05,-3.7520691644203905e-05,0.0003967238335462753,-5.093416666568373e-05,0.0003967238335462753,-5.093416666568373e-05,0.002760557,0.00017053529,0.0,0.0,[],0.03112998,29.127193,29.26004,0.0,0.0,0.0
23,-8.515883862855844e-05,-3.847052995752165e-05,0.00045013804628979415,-4.749191566588706e-05,0.00045013804628979415,-4.749191566588706e-05,0.0026707107,0.00017211256,0.0,0.0,[],0.031118019,29.127193,29.26004,0.0,0.0,0.0
