sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
41,-0.0007404503164434574,-0.000115014373232043,-0.0015135162338992814,-0.00023432072430296103,-0.0015135162338992814,-0.00023432072430296103,-0.001141033,-0.00017454739,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
42,-0.0007711677925908591,-0.00011976920901815902,-0.0015358738073700806,-0.00023774178930580092,-0.0015358738073700806,-0.00023774178930580092,-0.0011178787,-0.00017105325,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
43,-0.0008023233479616467,-0.0001245910964144059,-0.0015577777685393812,-0.00024109436981234467,-0.0015577777685393812,-0.00024109436981234467,-0.0010951981,-0.00016762903,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
44,-0.0008339080943551381,-0.00012947869310664828,-0.0015792373196745757,-0.00024437983461211843,-0.0015792373196745757,-0.00024437983461211843,-0.0010729776,-0.00016427324,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
45,-0.0008659140292002122,-0.00013443066424770222,-0.001600296742253704,-0.0002475985570526973,-0.001600296742253704,-0.0002475985570526973,-0.0010529711,-0.00016093612,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
46,-0.0008983326063389541,-0.0001394457210881228,-0.0016209288569370983,-0.0002507528420210292,-0.0016209288569370983,-0.0002507528420210292,-0.0010316058,-0.00015771425,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
47,-0.0009311554551823066,-0.0001445226008991085,-0.0016411424421676202,-0.0002538439905492851,-0.0016411424421676202,-0.0002538439905492851,-0.0010106793,-0.00015455743,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
48,-0.0009643743729611744,-0.00014966006596750959,-0.0016609458889433881,-0.0002568732534200535,-0.0016609458889433881,-0.0002568732534200535,-0.0009901724,-0.00015146314,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
49,-0.0009979813230893344,-0.0001548569034184766,-0.0016803475064079976,-0.0002598418725483498,-0.0016803475064079976,-0.0002598418725483498,-0.0009700809,-0.00014843096,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
50,-0.0010319684325077107,-0.00016011192473342818,-0.0016993554709188174,-0.00026275106574757956,-0.0016993554709188174,-0.00026275106574757956,-0.0009503983,-0.00014545966,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
51,-0.0010663279876462187,-0.0001654239651907119,-0.001717977756925393,-0.00026560202286418644,-0.001717977756925393,-0.00026560202286418644,-0.00093111437,-0.00014254785,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
52,-0.001101052431877179,-0.00017079188341995177,-0.0017362222115480108,-0.0002683959114619938,-0.0017362222115480108,-0.0002683959114619938,-0.0009122227,-0.00013969443,0.0,0.0,[],0.01,-60,-60,0.13442126,-10.924,-16.93
