sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,mu_dot_Shoulder,mu_dot_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
11,2.4468897318001834e-05,-5.624277297329173e-06,0.00016788107859611046,-6.474894081520688e-05,0.00016788107859611046,-6.474894081520688e-05,0.0005478593,-0.00039342346,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
12,2.8041200712323187e-05,-7.073476692767145e-06,0.0001786151697160676,-7.245996977189861e-05,0.0001786151697160676,-7.245996977189861e-05,0.00053670455,-0.00038555145,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
13,3.182383894454688e-05,-8.673812343431564e-06,0.00018913191161118448,-8.001678253322098e-05,0.00018913191161118448,-8.001678253322098e-05,0.0005258371,-0.00037784065,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
14,3.581255105018499e-05,-1.0422261461826566e-05,0.00019943560528190574,-8.742245591975006e-05,0.00019943560528190574,-8.742245591975006e-05,0.0005151847,-0.00037028367,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
15,4.000316226665745e-05,-1.2315861814613527e-05,0.0002095305608236231,-9.468001763934808e-05,0.0002095305608236231,-9.468001763934808e-05,0.0005047478,-0.00036287808,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
16,4.439158277818933e-05,-1.4351710367463966e-05,0.00021942102557659382,-0.00010179242764252194,0.00021942102557659382,-0.00010179242764252194,0.00049452326,-0.00035562052,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
17,4.897380602415069e-05,-1.652696223914063e-05,0.00022911116229806794,-0.00010876259358383322,0.00022911116229806794,-0.00010876259358383322,0.00048450686,-0.0003485083,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
18,5.3745906006952283e-05,-1.8838829364540286e-05,0.0002386049991400796,-0.0001155933562699829,0.0002386049991400796,-0.0001155933562699829,0.00047469186,-0.00034153814,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
19,5.870403641893063e-05,-2.1284579430584925e-05,0.00024790652059891727,-0.00012228750330223193,0.00024790652059891727,-0.00012228750330223193,0.0004650761,-0.00033470735,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
20,6.383343059496838e-05,-2.3861859156113495e-05,0.00025646970880188746,-0.00012886398627642848,0.00025646970880188746,-0.00012886398627642848,0.0004281594,-0.00032882416,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
21,6.913061868544902e-05,-2.6568037955030375e-05,0.00026485940452403156,-0.00013530893994584403,0.00026485940452403156,-0.00013530893994584403,0.0004194848,-0.00032224768,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
22,7.459220143573476e-05,-2.940053793736297e-05,0.00027307913751428714,-0.00014162499911662962,0.00027307913751428714,-0.00014162499911662962,0.00041098666,-0.00031580296,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
23,8.021484776691068e-05,-3.2356832708728685e-05,0.00028113231655879645,-0.00014781473856828597,0.00028113231655879645,-0.00014781473856828597,0.00040265894,-0.000309487,0.0,0.0,[],0.01,58.79386,59.7608,0.14140469,16.296,11.99
