sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
25,0.00045306186388188496,1.7600185549326854e-05,0.0015381381708721165,6.045339125648752e-05,0.0015381381708721165,6.045339125648752e-05,0.0,0.0,[],0.038367856,29.16971,29.18126,0.0,0.0,0.0
26,0.0004846733158046844,1.884273132645831e-05,0.001580572596139973,6.21272888565727e-05,0.001580572596139973,6.21272888565727e-05,0.0,0.0,[],0.03834963,29.16971,29.18126,0.0,0.0,0.0
27,0.0005171138403966323,2.0118035827181306e-05,0.0016220262295973953,6.376522503614979e-05,0.0016220262295973953,6.376522503614979e-05,0.0,0.0,[],0.038330875,29.16971,29.18126,0.0,0.0,0.0
28,0.0005503642402618423,2.1425395436835975e-05,0.0016625199932605028,6.53679804827334e-05,0.0016625199932605028,6.53679804827334e-05,0.0,0.0,[],0.03831159,29.16971,29.18126,0.0,0.0,0.0
29,0.0005844059905939502,2.276411059483508e-05,0.0017020875166053884,6.69357578999552e-05,0.0017020875166053884,6.69357578999552e-05,0.0,0.0,[],0.038291767,29.16971,29.18126,0.0,0.0,0.0
30,0.0006192209856089902,2.4133495878686523e-05,0.001740749750752002,6.846926419257215e-05,0.001740749750752002,6.846926419257215e-05,0.0,0.0,[],0.0382714,29.16971,29.18126,0.0,0.0,0.0
31,0.0006547912117821396,2.5532887204917648e-05,0.001778511308657471,6.996956631155626e-05,0.001778511308657471,6.996956631155626e-05,0.0,0.0,[],0.038250484,29.16971,29.18126,0.0,0.0,0.0
32,0.0006910990264441351,2.6961634005147066e-05,0.0018153907330997754,7.143734001147095e-05,0.0018153907330997754,7.143734001147095e-05,0.0,0.0,[],0.038229007,29.16971,29.18126,0.0,0.0,0.0
33,0.0007281325446820118,2.8419274165116808e-05,0.0018516759118938353,7.28820079984871e-05,0.0018516759118938353,7.28820079984871e-05,0.0,0.0,[],0.03820697,29.16971,29.18126,0.0,0.0,0.0
34,0.0007658747438108546,2.9905177825639843e-05,0.0018871099564421456,7.429518302615179e-05,0.0018871099564421456,7.429518302615179e-05,0.0,0.0,[],0.03818436,29.16971,29.18126,0.0,0.0,0.0
35,0.0008043089518469058,3.1418728412973e-05,0.0019217104018025566,7.567752936665784e-05,0.0019217104018025566,7.567752936665784e-05,0.0,0.0,[],0.038161173,29.16971,29.18126,0.0,0.0,0.0
36,0.0008434188496175919,3.295931981028844e-05,0.0019554948885343038,7.702956986577192e-05,0.0019554948885343038,7.702956986577192e-05,0.0,0.0,[],0.038137402,29.16971,29.18126,0.0,0.0,0.0
37,0.0008831884716346392,3.452635779694902e-05,0.0019884811008523684,7.8351899333029e-05,0.0019884811008523684,7.8351899333029e-05,0.0,0.0,[],0.038113043,29.16971,29.18126,0.0,0.0,0.0
38,0.000923602125403704,3.611927705378548e-05,0.0020206826884532347,7.964596284182335e-05,0.0020206826884532347,7.964596284182335e-05,0.0,0.0,[],0.038088083,29.16971,29.18126,0.0,0.0,0.0
39,0.0009646445021644466,3.773750524032949e-05,0.0020521188380371314,8.091140932720009e-05,0.0020521188380371314,8.091140932720009e-05,0.0,0.0,[],0.038062517,29.16971,29.18126,0.0,0.0,0.0
40,0.0010063056252693058,3.9380247387725836e-05,0.002083056155242957,8.213710736981739e-05,0.002083056155242957,8.213710736981739e-05,0.0,0.0,[],0.038036346,29.16971,29.18126,0.0,0.0,0.0
41,0.0010485707049883784,4.104695677142446e-05,0.0021132539859536337,8.333546918493084e-05,0.0021132539859536337,8.333546918493084e-05,0.0,0.0,[],0.038009554,29.16971,29.18126,0.0,0.0,0.0
42,0.001091425273225468,4.273709855851849e-05,0.0021427284118544776,8.450708935470175e-05,0.0021427284118544776,8.450708935470175e-05,0.0,0.0,[],0.03798214,29.16971,29.18126,0.0,0.0,0.0
43,0.001134855135824182,4.445014661996539e-05,0.0021714931299356977,8.56524030723449e-05,0.0021714931299356977,8.56524030723449e-05,0.0,0.0,[],0.0379541,29.16971,29.18126,0.0,0.0,0.0
44,0.0011788464107303296,4.6185584453724016e-05,0.002199563745307387,8.67718916879312e-05,0.002199563745307387,8.67718916879312e-05,0.0,0.0,[],0.037925422,29.16971,29.18126,0.0,0.0,0.0
45,0.0012233856129023478,4.794279890802501e-05,0.002226960108600906,8.786072271504963e-05,0.002226960108600906,8.786072271504963e-05,0.0,0.0,[],0.037896108,29.16971,29.18126,0.0,0.0,0.0
46,0.0012684594185338937,4.972129541556571e-05,0.002253690281577292,8.892482537703472e-05,0.002253690281577292,8.892482537703472e-05,0.0,0.0,[],0.03786614,29.16971,29.18126,0.0,0.0,0.0
47,0.0013140547777584289,5.152058941803263e-05,0.002279767961226753,8.996470012334612e-05,0.002279767961226753,8.996470012334612e-05,0.0,0.0,[],0.037835527,29.16971,29.18126,0.0,0.0,0.0
48,0.0013601589136669646,5.334020496547966e-05,0.002305206795426784,9.098077737235144e-05,0.002305206795426784,9.098077737235144e-05,0.0,0.0,[],0.037804253,29.16971,29.18126,0.0,0.0,0.0
49,0.0014067593110303278,5.517967560308536e-05,0.002330019868168165,9.197353188028501e-05,0.002330019868168165,9.197353188028501e-05,0.0,0.0,[],0.03777231,29.16971,29.18126,0.0,0.0,0.0
50,0.001453843696435797,5.703854314560887e-05,0.002354219270273461,9.294337712617562e-05,0.002354219270273461,9.294337712617562e-05,0.0,0.0,[],0.037739698,29.16971,29.18126,0.0,0.0,0.0
51,0.0015014000610244693,5.891635765806315e-05,0.0023778182294336148,9.389072562271394e-05,0.0023778182294336148,9.389072562271394e-05,0.0,0.0,[],0.037706412,29.16971,29.18126,0.0,0.0,0.0
52,0.0015494166344069526,6.0812677656940666e-05,0.0024008286691241665,9.48159999438758e-05,0.0024008286691241665,9.48159999438758e-05,0.0,0.0,[],0.03767244,29.16971,29.18126,0.0,0.0,0.0
53,0.0015978818829898954,6.272706985896549e-05,0.002423262429147144,9.571961010124141e-05,0.002423262429147144,9.571961010124141e-05,0.0,0.0,[],0.03763779,29.16971,29.18126,0.0,0.0,0.0
54,0.0016467845038278027,6.46591080419512e-05,0.0024451310418953653,9.660190914928535e-05,0.0024451310418953653,9.660190914928535e-05,0.0,0.0,[],0.037602436,29.16971,29.18126,0.0,0.0,0.0
55,0.0016961134211669559,6.660837511162756e-05,0.002466445866957656,9.746335348381763e-05,0.002466445866957656,9.746335348381763e-05,0.0,0.0,[],0.037566386,29.16971,29.18126,0.0,0.0,0.0
56,0.0017458577918660011,6.85744613554107e-05,0.0024872185349522624,9.830431218915692e-05,0.0024872185349522624,9.830431218915692e-05,0.0,0.0,[],0.037529632,29.16971,29.18126,0.0,0.0,0.0
57,0.001796006665790628,7.055698711837979e-05,0.0025074436962313484,9.912628814845448e-05,0.0025074436962313484,9.912628814845448e-05,0.0,0.0,[],0.037492167,31.16971,29.18126,0.0,0.0,0.0
58,0.0018465496291901217,7.255555701476626e-05,0.00252714816997468,9.992849481932353e-05,0.00252714816997468,9.992849481932353e-05,0.0,0.0,[],0.03745399,31.16971,29.18126,0.0,0.0,0.0
59,0.0018974768360931194,7.456978735035593e-05,0.0025463603451498784,0.00010071151677948365,0.0025463603451498784,0.00010071151677948365,0.0,0.0,[],0.03741509,31.16971,29.18126,0.0,0.0,0.0
